plot_id,disease_severity
plot_1,12.4
plot_2,70.2
plot_3,82.5
plot_4,86.6
plot_5,63.7
plot_6,67.0
plot_7,78.6
plot_8,74.6
plot_9,74.0
plot_10,70.6
plot_11,85.2
plot_12,84.5
plot_13,78.4
plot_14,87.2
plot_15,80.5
plot_16,72.4
plot_17,80.4
plot_18,69.7
plot_19,85.2
plot_20,76.3
plot_21,76.3
plot_22,72.1
plot_23,87.3
plot_24,77.1
plot_25,74.1
plot_26,76.4
plot_27,81.7
plot_28,82.3
plot_29,73.6
plot_30,82.6
plot_31,95.6
plot_32,72.2
plot_33,69.1
plot_34,56.3
plot_35,83.7
plot_36,86.4
plot_37,76.8
plot_38,72.0
plot_39,71.5
plot_40,82.8
plot_41,84.2
plot_42,82.6
plot_43,73.1
plot_44,81.9
plot_45,80.5
plot_46,80.5
plot_47,86.4
plot_48,78.8
plot_49,84.1
plot_50,79.4
plot_51,80.9
plot_52,82.4
plot_53,67.7
plot_54,77.2
plot_55,73.9
plot_56,73.9
plot_57,76.2
plot_58,91.6
plot_59,70.9
plot_60,86.5
plot_61,64.4
plot_62,62.1
plot_63,78.6
plot_64,82.5
plot_65,84.6
plot_66,85.3
plot_67,70.4
plot_68,75.6
plot_69,86.1
plot_70,78.3
plot_71,67.2
plot_72,60.0
plot_73,59.1
plot_74,79.5
